# generated by cr_sim.data.engagement -- regenerate, do not hand-edit
# head-on 1v1 at tournament standard. free_hits is what the longer-ranged unit lands before the other closes.
a,b,winner,a_hits,b_hits,seconds,free_hits,untouched,note
AngryBarbarians,Archer,a,1,4,3.43,0,,
AngryBarbarians,ArcherQueen,a,3,5,6.23,0,,
AngryBarbarians,Archer_EV1,a,1,0,0.90,1,yes,
AngryBarbarians,Assassin,a,3,3,3.70,1,,
AngryBarbarians,AxeMan,b,3,8,6.70,3,,
AngryBarbarians,BabyDragon,b,0,8,11.70,8,yes,a cannot target b
AngryBarbarians,Balloon,neither,0,0,0.00,0,,neither can target the other
AngryBarbarians,Barbarians,a,2,1,2.30,1,,
AngryBarbarians,Barbarians_EV1,a,2,1,2.30,1,,
AngryBarbarians,Bats,b,0,17,19.80,17,yes,a cannot target b
AngryBarbarians,BattleHealer,b,0,6,11.60,6,yes,a cannot target b
AngryBarbarians,BattleRam,a,3,0,3.70,3,yes,b cannot target a
AngryBarbarians,Berserker,a,3,6,3.70,0,,
AngryBarbarians,BlowdartGoblin,a,1,5,4.43,0,,
AngryBarbarians,BombTower,a,4,4,8.30,0,,
AngryBarbarians,Bomber,a,1,1,3.10,0,,
AngryBarbarians,BossBandit,b,4,6,6.47,0,,
AngryBarbarians,Bowler,a,6,4,9.77,0,,
AngryBarbarians,BushGoblin,a,1,0,0.90,1,yes,
AngryBarbarians,Cannon,b,2,7,6.10,4,,
AngryBarbarians,DarkPrince,a,5,4,6.50,1,,
AngryBarbarians,DarkWitch,a,3,3,3.97,0,,
AngryBarbarians,DartBarrell,b,0,8,8.30,8,yes,a cannot target b
AngryBarbarians,ElectroDragon,b,0,7,14.00,7,yes,a cannot target b
AngryBarbarians,ElectroGiant,a,11,0,14.90,11,yes,b cannot target a
AngryBarbarians,ElectroSpirit,a,1,1,1.77,0,,
AngryBarbarians,ElectroWizard,a,2,3,4.83,0,,
AngryBarbarians,EliteArcher,a,2,6,6.17,0,,
AngryBarbarians,ElixirGolem,a,5,0,6.50,5,yes,b cannot target a
AngryBarbarians,ElixirGolem2,a,2,0,2.30,2,yes,b cannot target a
AngryBarbarians,ElixirGolem4,a,1,0,0.90,1,yes,b cannot target a
AngryBarbarians,FireSpirits,a,1,1,1.77,0,,
AngryBarbarians,Firecracker,a,1,1,4.10,0,,
AngryBarbarians,FirespiritHut,a,2,3,5.17,0,,
AngryBarbarians,Fisherman,a,3,2,3.70,1,,
AngryBarbarians,Ghost,b,0,6,10.20,6,yes,a cannot target b
AngryBarbarians,Giant,a,11,0,14.90,11,yes,b cannot target a
AngryBarbarians,GiantBuffer,a,8,0,10.70,8,yes,b cannot target a
AngryBarbarians,GiantSkeleton,b,5,5,6.60,0,,
AngryBarbarians,GoblinDemolisher,a,4,7,7.63,0,,
AngryBarbarians,GoblinGang,a,1,1,0.90,0,,
AngryBarbarians,GoblinGiant,a,9,0,12.10,9,yes,b cannot target a
AngryBarbarians,GoblinMachine,b,5,6,6.70,1,,
AngryBarbarians,Goblins,a,1,1,0.90,0,,
AngryBarbarians,Goblinstein,a,7,0,9.30,7,yes,b cannot target a
AngryBarbarians,GoldenKnight,a,5,7,6.50,0,,
AngryBarbarians,Golem,a,14,0,19.10,14,yes,b cannot target a
AngryBarbarians,Golemite,a,3,0,3.70,3,yes,b cannot target a
AngryBarbarians,Heal,a,1,1,1.77,0,,
AngryBarbarians,HogRider,a,5,0,6.50,5,yes,b cannot target a
AngryBarbarians,IceGolemite,a,4,0,5.10,4,yes,b cannot target a
AngryBarbarians,IceSpirits,a,1,1,1.77,0,,
AngryBarbarians,IceWizard,a,2,3,5.17,0,,
AngryBarbarians,InfernoDragon,b,0,9,4.40,9,yes,a cannot target b
AngryBarbarians,InfernoTower,b,0,8,4.00,8,yes,
AngryBarbarians,KingTower,b,7,15,14.50,5,,
AngryBarbarians,Knight,a,5,5,6.50,0,,
AngryBarbarians,LavaHound,neither,0,0,0.00,0,,neither can target the other
AngryBarbarians,LavaPups,b,0,17,27.90,17,yes,a cannot target b
AngryBarbarians,LittlePrince,a,2,4,5.17,0,,
AngryBarbarians,MegaKnight,b,7,6,9.70,0,,
AngryBarbarians,MegaMinion,b,0,5,7.10,5,yes,a cannot target b
AngryBarbarians,MightyMiner,b,3,10,4.30,2,,
AngryBarbarians,Miner,a,4,4,5.10,0,,
AngryBarbarians,MiniPekka,b,2,2,2.97,0,,
AngryBarbarians,MiniSparkys,a,2,2,4.50,0,,
AngryBarbarians,MinionHorde,b,0,13,15.10,13,yes,a cannot target b
AngryBarbarians,Minions,b,0,13,15.10,13,yes,a cannot target b
AngryBarbarians,Monk,b,5,10,7.80,1,,
AngryBarbarians,Mortar,a,4,2,11.97,0,,
AngryBarbarians,MovingCannon,b,2,7,5.80,4,,
AngryBarbarians,Musketeer,a,2,6,5.50,0,,
AngryBarbarians,Musketeer_EV1,a,2,6,5.50,0,,
AngryBarbarians,Pekka,b,2,2,3.10,0,,
AngryBarbarians,Phoenix,b,0,7,6.40,7,yes,a cannot target b
AngryBarbarians,Prince,b,3,4,5.10,1,,
AngryBarbarians,PrincessTower,b,5,15,11.20,7,,
AngryBarbarians,RageBarbarian,b,3,6,4.65,1,,
AngryBarbarians,RamRider,a,5,0,6.50,5,yes,b cannot target a
AngryBarbarians,RascalGirl,a,1,3,3.43,0,,
AngryBarbarians,Rascals,a,5,4,6.50,1,,
AngryBarbarians,Ronin,b,4,4,5.20,0,,
AngryBarbarians,RoyalGiant,a,9,0,14.63,9,yes,b cannot target a
AngryBarbarians,RoyalHogs,a,3,0,3.70,3,yes,b cannot target a
AngryBarbarians,RoyalRecruits,a,3,3,3.97,0,,
AngryBarbarians,SkeletonArmy,a,1,0,0.90,1,yes,
AngryBarbarians,SkeletonDragons,b,0,9,17.60,9,yes,a cannot target b
AngryBarbarians,SkeletonKing,a,6,5,7.90,1,,
AngryBarbarians,SkeletonWarriors,a,2,3,2.57,0,,
AngryBarbarians,Skeletons,a,1,0,0.90,1,yes,
AngryBarbarians,SpearGoblins,a,1,2,3.43,0,,
AngryBarbarians,Tesla,b,3,7,7.30,3,,
AngryBarbarians,ThreeMusketeers,a,3,5,6.90,0,,
AngryBarbarians,Valkyrie,a,5,4,6.50,1,,
AngryBarbarians,Wallbreakers,a,1,0,0.90,1,yes,b cannot target a
AngryBarbarians,Witch,a,3,6,6.57,0,,
AngryBarbarians,WitchMother,a,2,5,5.17,0,,
AngryBarbarians,Wizard,a,2,3,5.17,0,,
AngryBarbarians,Wizard_EV1,a,3,4,6.57,0,,
AngryBarbarians,Xbow,b,2,24,9.20,20,,
AngryBarbarians,ZapMachine,b,3,2,7.00,1,,
AngryBarbarians,goblinstein_doctor,a,2,3,5.17,0,,
Archer,ArcherQueen,b,2,2,2.10,0,,
Archer,Archer_EV1,a,3,0,2.20,3,yes,
Archer,Assassin,b,5,2,4.43,0,,
Archer,AxeMan,b,2,2,1.80,0,,
Archer,BabyDragon,b,4,2,3.70,0,,
Archer,Balloon,a,15,0,13.00,15,yes,b cannot target a
Archer,Barbarians,a,7,1,5.80,6,,
Archer,Barbarians_EV1,a,7,1,5.80,6,,
Archer,Bats,a,1,0,0.40,1,yes,
Archer,BattleHealer,b,8,2,7.00,0,,
Archer,BattleRam,a,9,0,7.60,9,yes,b cannot target a
Archer,Berserker,b,5,3,4.40,0,,
Archer,BlowdartGoblin,b,1,3,2.05,2,,
Archer,BombTower,b,2,2,3.10,1,,
Archer,Bomber,a,3,1,2.20,2,,
Archer,BossBandit,b,5,2,4.60,0,,
Archer,Bowler,b,7,2,5.83,0,,
Archer,BushGoblin,a,4,0,3.10,4,yes,
Archer,Cannon,b,1,2,1.10,1,,
Archer,DarkPrince,b,7,2,6.20,0,,
Archer,DarkWitch,b,4,1,3.95,0,,
Archer,DartBarrell,b,1,2,1.70,1,,
Archer,ElectroDragon,b,6,2,5.00,0,,
Archer,ElectroGiant,a,36,0,31.90,36,yes,b cannot target a
Archer,ElectroSpirit,a,2,0,1.30,2,yes,
Archer,ElectroWizard,b,5,3,4.80,0,,
Archer,EliteArcher,b,1,3,2.60,2,,
Archer,ElixirGolem,a,15,0,13.00,15,yes,b cannot target a
Archer,ElixirGolem2,a,7,0,5.80,7,yes,b cannot target a
Archer,ElixirGolem4,a,4,0,3.10,4,yes,b cannot target a
Archer,FireSpirits,a,2,0,1.30,2,yes,
Archer,Firecracker,a,3,1,3.20,2,,
Archer,FirespiritHut,b,3,2,2.90,0,,
Archer,Fisherman,b,7,2,6.30,0,,
Archer,Ghost,b,6,2,5.53,0,,
Archer,Giant,a,36,0,31.90,36,yes,b cannot target a
Archer,GiantBuffer,a,26,0,22.90,26,yes,b cannot target a
Archer,GiantSkeleton,b,7,2,6.50,0,,
Archer,GoblinDemolisher,b,2,2,1.70,0,,
Archer,GoblinGang,a,2,0,1.30,2,yes,
Archer,GoblinGiant,a,28,0,24.70,28,yes,b cannot target a
Archer,GoblinMachine,b,6,2,5.70,0,,
Archer,Goblins,a,2,0,1.30,2,yes,
Archer,Goblinstein,a,22,0,19.30,22,yes,b cannot target a
Archer,GoldenKnight,b,6,2,5.40,0,,
Archer,Golem,a,46,0,40.90,46,yes,b cannot target a
Archer,Golemite,a,10,0,8.50,10,yes,b cannot target a
Archer,Heal,a,2,0,1.30,2,yes,
Archer,HogRider,a,16,0,13.90,16,yes,b cannot target a
Archer,IceGolemite,a,12,0,10.30,12,yes,b cannot target a
Archer,IceSpirits,a,2,0,1.30,2,yes,
Archer,IceWizard,both,7,4,6.30,0,,they kill each other on the same tick
Archer,InfernoDragon,b,4,4,3.90,0,,
Archer,InfernoTower,b,2,4,2.40,1,,
Archer,KingTower,b,2,4,3.50,2,,
Archer,Knight,b,6,2,5.70,0,,
Archer,LavaHound,a,32,0,28.30,32,yes,b cannot target a
Archer,LavaPups,a,2,0,1.30,2,yes,
Archer,LittlePrince,b,3,3,3.20,1,,
Archer,MegaKnight,b,8,2,6.70,0,,
Archer,MegaMinion,b,5,1,4.50,0,,
Archer,MightyMiner,b,6,5,5.70,0,,
Archer,Miner,b,5,2,4.63,0,,
Archer,MiniPekka,b,4,1,3.90,0,,
Archer,MiniSparkys,a,5,1,4.00,2,,
Archer,MinionHorde,a,3,0,2.20,3,yes,
Archer,Minions,a,3,0,2.20,3,yes,
Archer,Monk,b,7,3,6.00,0,,
Archer,Mortar,b,2,2,8.40,1,,
Archer,MovingCannon,b,1,2,1.30,1,,
Archer,Musketeer,b,0,2,1.30,2,yes,
Archer,Musketeer_EV1,b,0,2,1.30,2,yes,
Archer,Pekka,b,7,1,6.37,0,,
Archer,Phoenix,b,5,2,4.80,0,,
Archer,Prince,b,5,1,4.30,0,,
Archer,PrincessTower,b,0,4,2.40,4,yes,
Archer,RageBarbarian,b,4,2,3.35,0,,
Archer,RamRider,a,16,0,13.90,16,yes,b cannot target a
Archer,RascalGirl,a,3,2,2.20,1,,
Archer,Rascals,b,8,2,6.80,0,,
