# generated by cr_sim.data.interactions -- build unknown, 2026-08-27
# computed = ceil(effective_hitpoints / damage), honouring shields, crown-tower percent, air/ground and damage ramps. 'sim:hits/win' cells (where present) come from an actual Battle duel instead of arithmetic. Regenerate; do not hand-edit.
card,AngryBarbarians,Archer,ArcherQueen,Archer_EV1,Arrows,Assassin,AxeMan,BabyDragon,Balloon,BarbLog,Barbarians,Barbarians_EV1,Bats,BattleHealer,BattleRam,Berserker,BlowdartGoblin,BombTower,Bomber,BossBandit,Bowler,BushGoblin,Cannon,DarkPrince,DarkWitch,DartBarrell,ElectroDragon,ElectroGiant,ElectroSpirit,ElectroWizard,EliteArcher,ElixirGolem,ElixirGolem2,ElixirGolem4,FireSpirits,Fireball,Firecracker,FirespiritHut,Fisherman,Freeze,Ghost,Giant,GiantBuffer,GiantSkeleton,GoblinDemolisher,GoblinGang,GoblinGiant,GoblinMachine,Goblins,Goblinstein,GoldenKnight,Golem,Golemite,Heal,HogRider,IceGolemite,IceSpirits,IceWizard,InfernoDragon,InfernoTower,KingTower,Knight,LavaHound,LavaPups,Lightning,LittlePrince,Log,MegaKnight,MegaMinion,MightyMiner,Miner,MiniPekka,MiniSparkys,MinionHorde,Minions,Monk,Mortar,MovingCannon,Musketeer,Musketeer_EV1,Pekka,Phoenix,Prince,PrincessTower,RageBarbarian,RamRider,RascalGirl,Rascals,Rocket,Ronin,RoyalGiant,RoyalHogs,RoyalRecruits,SkeletonArmy,SkeletonDragons,SkeletonKing,SkeletonWarriors,Skeletons,Snowball,SpearGoblins,Tesla,ThreeMusketeers,Valkyrie,Wallbreakers,Witch,WitchMother,Wizard,Wizard_EV1,Xbow,Zap,ZapMachine,goblinstein_doctor
AngryBarbarians,4,12,6,12,4,7,8,8,,6,7,7,17,6,,14,9,7,6,6,5,6,7,6,5,8,7,,14,12,10,,,,7,2,21,8,7,10,6,,,5,8,11,,6,11,,9,,,13,,,13,16,12,11,15,7,,17,2,13,6,6,5,11,7,2,12,13,13,10,6,7,7,7,2,7,4,15,6,,11,7,1,4,,,11,17,9,7,12,17,8,17,7,7,6,,10,11,5,5,24,7,2,10
Archer,1,3,2,3,1,2,2,2,,2,2,2,4,2,,3,3,2,2,2,2,2,2,2,1,2,2,,4,3,3,,,,2,1,5,2,2,3,2,,,2,2,3,,2,3,,2,,,3,,,3,4,7,6,4,2,,4,1,3,2,2,1,6,2,1,3,3,3,3,2,2,2,2,1,2,1,4,2,,3,2,1,1,,,3,4,3,2,3,4,2,4,2,2,2,,3,3,2,2,6,2,1,3
ArcherQueen,3,9,5,9,3,6,6,6,,5,6,6,13,4,,10,7,5,5,5,4,4,5,4,4,6,6,,11,9,8,,,,5,2,16,6,6,7,4,,,4,6,8,,5,8,,7,,,10,,,10,12,11,10,11,5,,13,1,10,4,4,4,9,6,2,9,10,10,8,4,5,5,5,2,5,3,11,4,,8,5,1,3,,,8,13,7,5,9,13,6,13,5,5,4,,8,8,4,4,18,6,1,8
Archer_EV1,1,3,2,3,1,2,2,2,,2,2,2,4,2,,3,3,2,2,2,2,2,2,2,1,2,2,,4,3,3,,,,2,1,5,2,2,3,2,,,2,2,3,,2,3,,2,,,3,,,3,4,7,6,4,2,,4,1,3,2,2,1,6,2,1,3,3,3,3,2,2,2,2,1,2,1,4,2,,3,2,1,1,,,3,4,3,2,3,4,2,4,2,2,2,,3,3,2,2,6,2,1,3
Assassin,3,9,5,9,3,5,6,6,,4,5,5,12,4,,9,6,5,5,4,4,4,5,4,3,6,5,,10,8,7,,,,5,2,15,6,5,7,4,,,4,5,8,,4,8,,6,,,9,,,9,11,11,10,10,5,,12,1,9,4,4,3,9,5,2,8,9,9,7,4,5,5,5,2,5,3,10,4,,8,5,1,3,,,7,12,6,5,8,12,6,12,5,5,4,,7,7,4,4,16,5,1,7
AxeMan,4,12,6,12,4,7,8,8,,6,7,7,16,5,,13,9,6,6,6,5,5,7,5,5,8,7,,13,11,10,,,,7,2,20,8,7,9,5,,,5,7,11,,6,11,,8,,,12,,,12,15,12,11,14,7,,16,2,13,5,5,5,11,7,2,11,12,12,10,5,7,6,6,2,6,4,14,5,,11,6,1,4,,,10,16,9,7,11,16,8,16,6,7,5,,10,10,5,5,23,7,1,10
BabyDragon,,11,6,11,4,,7,7,,5,,,15,,,,8,,,,,,,,,7,6,,12,10,9,,,,6,2,18,7,,8,,,,,,,,,,,,,,11,,,11,13,11,11,13,,,15,2,12,5,,4,,,,10,11,11,,,,6,6,,6,,13,,,10,,1,,,,,,8,,,,7,15,6,6,,,9,9,5,5,,6,,9
Balloon,,15,8,15,5,,10,10,,8,,,21,,,,12,,,,,,,,,10,9,,17,15,13,,,,9,3,27,10,,12,,,,,,,,,,,,,,16,,,16,19,13,11,19,,,21,2,17,7,,6,,,,15,16,16,,,,8,8,,8,,19,,,14,,2,,,,,,12,,,,10,21,8,9,,,13,13,6,6,,9,,13
BarbarianHut,4,11,6,11,4,6,7,7,2,6,7,7,15,5,5,12,8,6,6,5,5,5,6,5,4,7,7,8,12,10,9,5,10,19,6,2,19,7,6,8,5,5,8,5,7,10,7,6,10,10,8,4,14,11,4,14,11,14,11,11,13,6,22,15,2,12,5,5,4,10,6,2,10,11,11,9,5,6,6,6,2,6,3,13,5,5,10,6,1,4,4,16,9,15,8,6,10,15,7,15,6,6,5,5,9,9,5,5,21,7,1,9
Barbarians,2,7,4,7,2,4,4,5,,4,4,4,9,3,,8,5,4,4,3,3,3,4,3,3,5,4,,8,7,6,,,,4,2,12,4,4,5,3,,,3,4,6,,4,6,,5,,,7,,,7,9,10,9,8,4,,9,1,7,3,3,3,8,4,1,7,7,7,6,3,4,4,4,1,4,2,8,3,,6,4,1,2,,,6,9,5,4,7,9,4,9,4,4,3,,6,6,3,3,13,4,1,6
Barbarians_EV1,2,7,4,7,2,4,4,5,,4,4,4,9,3,,8,5,4,4,3,3,3,4,3,3,5,4,,8,7,6,,,,4,2,12,4,4,5,3,,,3,4,6,,4,6,,5,,,7,,,7,9,10,9,8,4,,9,1,7,3,3,3,8,4,1,7,7,7,6,3,4,4,4,1,4,2,8,3,,6,4,1,2,,,6,9,5,4,7,9,4,9,4,4,3,,6,6,3,3,13,4,1,6
Bats,,1,1,1,1,,1,1,,1,,,1,,,,1,,,,,,,,,1,1,,1,1,1,,,,1,1,2,1,,1,,,,,,,,,,,,,,1,,,1,1,3,2,1,,,1,1,1,1,,1,,,,1,1,1,,,,1,1,,1,,1,,,1,,1,,,,,,1,,,,1,1,1,1,,,1,1,1,1,,1,,1
BattleHealer,,18,9,18,6,,11,12,,9,,,24,,,,13,,,,,,,,,12,10,,20,17,15,,,,10,3,30,11,,13,,,,,,,,,,,,,,18,,,18,22,13,12,21,,,24,2,19,8,,7,,,,17,18,18,,,,9,9,,9,,21,,,16,,2,,,,,,13,,,,11,24,9,10,,,15,15,7,7,,10,,15
BattleRam,3,9,5,9,3,5,6,6,,5,6,6,12,4,,10,7,5,5,4,4,4,5,4,4,6,6,,10,9,8,,,,5,2,16,6,5,7,4,,,4,6,8,,5,8,,7,,,9,,,9,11,11,10,11,5,,12,1,10,4,4,4,9,5,2,9,10,10,7,4,5,5,5,2,5,3,11,4,,8,5,1,3,,,8,12,7,5,9,12,6,12,5,5,4,,8,8,4,4,17,6,1,8
Berserker,3,8,4,8,3,5,6,6,,4,5,5,12,4,,9,6,5,4,4,4,4,5,4,3,6,5,,10,8,7,,,,5,2,14,6,5,7,4,,,4,5,8,,4,8,,6,,,9,,,9,11,11,10,10,5,,12,1,9,4,4,3,9,5,2,8,9,9,7,4,5,5,5,2,5,3,10,4,,8,5,1,3,,,7,12,6,5,8,12,6,12,5,5,4,,7,7,4,4,16,5,1,7
BlowdartGoblin,1,3,2,3,1,2,2,2,,2,2,2,4,1,,3,2,2,2,2,1,2,2,1,1,2,2,,3,3,2,,,,2,1,5,2,2,2,1,,,1,2,3,,2,3,,2,,,3,,,3,3,6,6,3,2,,4,1,3,1,1,1,6,2,1,3,3,3,2,1,2,2,2,1,2,1,3,2,,3,2,1,1,,,2,4,2,2,3,4,2,4,2,2,1,,2,2,1,1,5,2,1,2
