# generated by cr_sim.data.engagement -- regenerate, do not hand-edit
# rows are defenders, columns are attackers, tournament standard.
# cell is 'hits alone / troop hits + tower hits when a Princess Tower fires too', both engaged from tick zero.
card,AngryBarbarians,Archer,ArcherQueen,Archer_EV1,Arrows,Assassin,AxeMan,BabyDragon,Balloon,BarbLog,Barbarians,Barbarians_EV1,Bats,BattleHealer,BattleRam,Berserker,BlowdartGoblin,BombTower,Bomber,BossBandit,Bowler,BushGoblin,Cannon,DarkPrince,DarkWitch,DartBarrell,ElectroDragon,ElectroGiant,ElectroSpirit,ElectroWizard,EliteArcher,ElixirGolem,ElixirGolem2,ElixirGolem4,FireSpirits,Fireball,Firecracker,FirespiritHut,Fisherman,Freeze,Ghost,Giant,GiantBuffer,GiantSkeleton,GoblinDemolisher,GoblinGang,GoblinGiant,GoblinMachine,Goblins,Goblinstein,GoldenKnight,Golem,Golemite,Heal,HogRider,IceGolemite,IceSpirits,IceWizard,InfernoDragon,InfernoTower,KingTower,Knight,LavaHound,LavaPups,Lightning,LittlePrince,Log,MegaKnight,MegaMinion,MightyMiner,Miner,MiniPekka,MiniSparkys,MinionHorde,Minions,Monk,Mortar,MovingCannon,Musketeer,Musketeer_EV1,Pekka,Phoenix,Prince,RageBarbarian,RamRider,RascalGirl,Rascals,Rocket,Ronin,RoyalGiant,RoyalHogs,RoyalRecruits,SkeletonArmy,SkeletonDragons,SkeletonKing,SkeletonWarriors,Skeletons,Snowball,SpearGoblins,Tesla,ThreeMusketeers,Valkyrie,Wallbreakers,Witch,WitchMother,Wizard,Wizard_EV1,Xbow,Zap,ZapMachine,goblinstein_doctor
AngryBarbarians,4/3+5,12/6+8,6/4+6,12/6+8,4/1+11,7/5+6,8/5+6,8/4+8,,6/1+13,7/4+7,7/4+7,17/6+10,6/3+8,,14/8+6,9/6+6,7/3+8,6/3+8,6/4+6,5/2+9,6/3+7,7/4+6,6/3+6,5/3+5,8/5+7,7/3+9,,14/1+14,12/4+10,10/5+8,,,,7/1+13,2/1+8,21/3+13,8/4+8,7/4+7,10/1+13,6/3+7,,,5/3+6,8/4+7,11/5+8,,6/4+6,11/5+8,,9/5+6,,,13/1+14,,,13/1+14,16/5+11,12/8+6,11/8+6,15/6+9,7/4+6,,17/5+11,2/1+4,13/5+9,6/1+12,6/3+6,5/3+6,11/8+5,7/4+7,2/2+4,12/4+11,13/5+9,13/5+9,10/6+6,6/2+11,7/5+6,7/4+6,7/4+6,2/2+4,7/4+6,4/3+5,6/4+4,,11/6+7,7/4+8,1/1+1,4/3+5,,,11/5+8,17/7+10,9/3+10,7/3+8,12/6+7,17/7+10,8/1+13,17/5+11,7/4+6,7/4+6,6/3+6,,10/5+8,11/5+8,5/3+6,5/3+6,24/13+7,7/1+13,2/1+4,10/4+9
Archer,1/1+2,3/2+2,2/1+2,3/2+2,1/1+1,2/1+2,2/1+2,2/1+2,,2/1+1,2/1+2,2/1+2,4/1+3,2/1+3,,3/2+2,3/1+2,2/1+2,2/1+3,2/1+1,2/1+3,2/1+2,2/1+2,2/1+2,1/1+1,2/1+2,2/1+2,,4/1+3,3/1+3,3/1+2,,,,2/1+2,1/1+1,5/1+3,2/1+2,2/1+2,3/1+2,2/1+2,,,2/1+2,2/1+2,3/1+2,,2/1+1,3/1+2,,2/1+2,,,3/1+3,,,3/1+3,4/1+3,7/2+3,6/2+3,4/2+2,2/1+2,,4/1+3,1/1+1,3/1+3,2/1+1,2/1+2,1/1+2,6/3+2,2/1+2,1/1+2,3/1+3,3/1+3,3/1+3,3/1+2,2/0+4,2/1+1,2/1+1,2/1+1,1/1+2,2/1+1,1/1+2,2/1+1,,3/1+2,2/1+2,1/1+1,1/1+2,,,3/1+2,4/1+3,3/1+3,2/1+2,3/2+2,4/1+3,2/1+2,4/1+3,2/1+1,2/1+2,2/1+2,,3/1+2,3/1+2,2/1+2,2/1+2,6/3+2,2/1+2,1/0+4,3/1+2
ArcherQueen,3/2+3,9/5+6,5/3+5,9/5+6,3/1+7,6/3+5,6/4+4,6/3+6,,5/1+9,6/3+5,6/3+5,13/5+7,4/2+6,,10/6+5,7/4+5,5/2+7,5/2+6,5/3+4,4/2+6,4/3+5,5/4+4,4/3+5,4/3+4,6/4+5,6/2+7,,11/1+10,9/3+8,8/4+5,,,,5/1+9,2/1+4,16/2+10,6/3+6,6/3+5,7/1+10,4/2+6,,,4/2+5,6/3+5,8/4+6,,5/3+4,8/4+6,,7/4+5,,,10/1+10,,,10/1+10,12/3+8,11/6+5,10/6+5,11/5+6,5/3+5,,13/4+8,1/1+1,10/4+7,4/1+8,4/2+6,4/2+5,9/7+4,6/3+5,2/1+3,9/3+8,10/4+7,10/4+7,8/4+5,4/1+8,5/3+4,5/3+4,5/3+4,2/1+2,5/3+4,3/2+3,4/3+3,,8/4+6,5/3+6,1/1+1,3/2+4,,,8/4+6,13/5+7,7/3+8,5/3+6,9/4+6,13/5+7,6/1+9,13/4+8,5/3+4,5/3+5,4/2+6,,8/4+5,8/4+6,4/2+5,4/2+5,18/10+5,6/1+9,1/1+4,8/3+7
Archer_EV1,1/1+2,3/2+2,2/1+2,3/2+2,1/1+1,2/1+2,2/1+2,2/1+2,,2/1+1,2/1+2,2/1+2,4/1+3,2/1+3,,3/2+2,3/1+2,2/1+2,2/1+3,2/1+1,2/1+3,2/1+2,2/1+2,2/1+2,1/1+1,2/1+2,2/1+2,,4/1+3,3/1+3,3/1+2,,,,2/1+2,1/1+1,5/1+3,2/1+2,2/1+2,3/1+2,2/1+2,,,2/1+2,2/1+2,3/1+2,,2/1+1,3/1+2,,2/1+2,,,3/1+3,,,3/1+3,4/1+3,7/2+3,6/2+3,4/2+2,2/1+2,,4/1+3,1/1+1,3/1+3,2/1+1,2/1+2,1/1+2,6/3+2,2/1+2,1/1+2,3/1+3,3/1+3,3/1+3,3/1+2,2/0+4,2/1+1,2/1+1,2/1+1,1/1+2,2/1+1,1/1+2,2/1+1,,3/1+2,2/1+2,1/1+1,1/1+2,,,3/1+2,4/1+3,3/1+3,2/1+2,3/2+2,4/1+3,2/1+2,4/1+3,2/1+1,2/1+2,2/1+2,,3/1+2,3/1+2,2/1+2,2/1+2,6/3+2,2/1+2,1/0+4,3/1+2
Assassin,3/2+3,9/4+5,5/2+5,9/4+5,3/1+6,5/3+4,6/4+4,6/3+6,,4/1+8,5/3+5,5/3+5,12/4+7,4/2+5,,9/5+5,6/4+4,5/2+6,5/2+5,4/3+4,4/2+6,4/2+5,5/3+4,4/2+5,3/2+4,6/3+5,5/2+6,,10/1+9,8/3+7,7/4+5,,,,5/1+8,2/1+3,15/2+9,6/2+6,5/3+5,7/1+9,4/2+5,,,4/2+4,5/3+4,8/4+5,,4/3+4,8/4+5,,6/3+5,,,9/1+9,,,9/1+9,11/3+7,11/6+5,10/5+4,10/4+6,5/3+4,,12/3+8,1/1+1,9/4+6,4/1+7,4/2+5,3/2+4,9/6+4,5/3+5,2/1+2,8/2+8,9/4+6,9/4+6,7/4+4,4/1+7,5/3+3,5/3+3,5/3+3,2/1+2,5/3+4,3/2+3,4/3+3,,8/4+5,5/2+6,1/1+1,3/2+4,,,7/3+6,12/4+7,6/2+7,5/2+6,8/4+5,12/4+7,6/1+8,12/3+8,5/3+4,5/3+5,4/2+5,,7/4+5,7/4+5,4/2+4,4/2+4,16/9+5,5/1+8,1/1+4,7/2+7
AxeMan,4/3+5,12/6+7,6/4+6,12/6+7,4/1+10,7/4+6,8/5+6,8/4+8,,6/1+12,7/4+7,7/4+7,16/6+9,5/3+8,,13/8+6,9/5+6,6/3+7,6/3+7,6/4+6,5/2+8,5/3+6,7/4+6,5/3+6,5/3+4,8/4+7,7/3+8,,13/1+13,11/4+9,10/5+7,,,,7/1+12,2/1+7,20/3+12,8/4+8,7/4+7,9/1+13,5/3+7,,,5/3+5,7/4+6,11/5+8,,6/4+6,11/5+8,,8/5+6,,,12/1+13,,,12/1+13,15/5+11,12/8+6,11/7+5,14/6+8,7/4+6,,16/5+10,2/1+3,13/5+9,5/1+11,5/3+6,5/3+6,11/8+5,7/4+6,2/2+4,11/4+11,12/5+9,12/5+9,10/6+6,5/2+11,7/4+5,6/4+5,6/4+5,2/2+4,6/4+5,4/3+5,5/4+4,,11/6+7,6/3+7,1/1+1,4/3+5,,,10/5+8,16/6+9,9/3+9,7/3+8,11/6+7,16/6+9,8/1+12,16/5+10,6/4+6,7/4+6,5/3+6,,10/5+7,10/5+7,5/3+5,5/3+5,23/13+7,7/1+12,1/1+4,10/4+9
BabyDragon,,11/5+7,6/3+6,11/5+7,4/1+9,,7/4+5,7/3+8,,5/1+10,,,15/5+9,,,,8/5+5,,,,,,,,,7/4+6,6/3+8,,12/1+12,10/3+9,9/5+7,,,,6/1+11,2/1+6,18/3+11,7/3+7,,8/1+11,,,,,,,,,,,,,,11/1+12,,,11/1+12,13/4+9,11/8+6,11/6+5,13/6+7,,,15/4+9,2/1+2,12/5+8,5/1+10,,4/2+6,,,,10/3+9,11/5+7,11/5+7,,,,6/4+5,6/4+5,,6/4+5,,,,10/5+6,,1/1+1,,,,,,8/3+8,,,,7/1+11,15/4+9,6/4+6,6/3+6,,,9/5+7,9/5+6,5/3+5,5/3+5,,6/1+11,,9/3+9
Balloon,,15/8+9,8/5+8,15/8+9,5/1+15,,10/6+7,10/5+10,,8/1+16,,,21/8+12,,,,12/7+7,,,,,,,,,10/6+8,9/4+10,,17/1+18,15/5+12,13/7+9,,,,9/1+16,3/1+11,27/4+16,10/5+11,,12/1+17,,,,,,,,,,,,,,16/1+18,,,16/1+18,19/6+13,13/9+6,11/8+6,19/8+11,,,21/6+13,2/1+7,17/7+11,7/1+16,,6/4+8,,,,15/5+13,16/7+11,16/7+11,,,,8/5+7,8/5+7,,8/5+7,,,,14/7+9,,2/1+3,,,,,,12/4+12,,,,10/1+17,21/6+13,8/5+7,9/5+8,,,13/7+9,13/7+9,6/4+7,6/4+7,,9/1+17,,13/5+11
BarbarianHut,4/2+5,11/5+7,6/3+6,11/5+7,4/1+9,6/4+5,7/4+5,7/3+8,2/2+5,6/1+11,7/3+7,7/3+7,15/5+9,5/2+7,5/1+10,12/7+6,8/5+5,6/3+7,6/3+7,5/3+5,5/2+7,5/3+5,6/4+4,5/3+5,4/3+4,7/4+6,7/3+8,8/3+8,12/1+12,10/3+9,9/5+7,5/3+5,10/5+6,19/6+9,6/1+11,2/1+6,19/3+11,7/3+7,6/3+7,8/1+12,5/3+7,5/3+6,8/4+7,5/3+5,7/4+5,10/5+7,7/3+7,6/3+6,10/5+7,10/4+8,8/4+6,4/2+6,14/3+10,11/1+12,4/2+6,14/3+10,11/1+12,14/4+9,11/8+6,11/6+5,13/6+7,6/4+6,22/6+10,15/4+10,2/1+2,12/5+8,5/1+10,5/3+6,4/2+6,10/7+5,6/4+6,2/2+4,10/3+9,11/5+7,11/5+7,9/5+6,5/1+10,6/4+4,6/4+5,6/4+5,2/1+4,6/4+5,3/2+5,5/4+4,5/3+6,10/5+6,6/3+6,1/1+1,4/2+5,4/2+6,16/5+9,9/4+7,15/6+8,8/3+8,6/3+6,10/5+7,15/6+8,7/1+11,15/4+10,6/4+6,6/3+6,5/3+6,5/1+10,9/5+7,9/5+6,5/3+5,5/3+5,21/11+6,7/1+11,1/1+4,9/3+9
Barbarians,2/2+3,7/4+4,4/2+3,7/4+4,2/1+4,4/2+4,4/3+3,5/2+5,,4/1+6,4/2+4,4/2+4,9/3+6,3/1+5,,8/4+4,5/3+3,4/2+4,4/2+5,3/2+3,3/1+5,3/2+4,4/3+3,3/2+4,3/2+3,5/3+4,4/2+5,,8/1+7,7/2+6,6/3+4,,,,4/1+6,2/1+1,12/2+7,4/2+4,4/2+4,5/1+7,3/2+4,,,3/2+3,4/2+4,6/3+4,,4/2+3,6/3+4,,5/3+4,,,7/1+7,,,7/1+7,9/2+6,10/5+4,9/4+4,8/3+5,4/2+4,,9/3+6,1/1+1,7/3+5,3/1+5,3/2+4,3/2+4,8/5+4,4/2+4,1/1+2,7/2+6,7/3+5,7/3+5,6/3+4,3/1+5,4/3+3,4/3+3,4/3+3,1/1+2,4/3+4,2/2+3,3/2+3,,6/3+4,4/2+4,1/1+1,2/2+4,,,6/2+5,9/4+5,5/2+5,4/2+4,7/3+4,9/4+5,4/1+6,9/3+6,4/2+3,4/2+4,3/2+4,,6/3+4,6/3+4,3/2+4,3/2+4,13/7+4,4/1+6,1/1+4,6/2+5
